CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
Austria,20200120,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.9999999999999998,0.915496461427364,0.4496969696969697,0.4162825252170807,-0.08450353857263582
Austria,20200127,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9782898368599988,0.7543234140261981,0.4411123227917121,0.3525513734214478,-0.22396642283380075
Austria,20200203,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.9629705821652579,0.7257908964088904,0.4350547730829421,0.34126902664758485,-0.2371796857563675
Austria,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.8224284779653149,0.6294569154580353,0.3794815223386652,0.30317658090648547,-0.19297156250727965
Austria,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.5260137909018721,0.5850406840389522,0.26227303295225285,0.28561348563464495,0.059026893137080094
Austria,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,,0.0,11.11,0.6588894546876426,0.44532550640274826,0.3148148148148148,0.23036721873293523,-0.21356394828489433
Austria,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,1.0,0.0,,18.0,11.11,0.516385458081365,0.4111596002053234,0.25846579129232894,0.21685731376300732,-0.10522585787604166
Austria,20200309,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,0.0,,0.0,2.0,1.0,1.0,1.0,0.0,,131.0,19.44,0.3777523989903768,0.24283276997390343,0.20364741641337386,0.15029740848272316,-0.1349196290164734
Austria,20200316,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,,2.0,2.0,1.0,1.0,1.0,0.0,,1018.0,81.48,0.08926159110584128,0.18230345135010037,0.08957219251336898,0.12636286573192376,0.09304186024425909
Austria,20200323,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,,4474.0,81.48,0.0,0.10017364031705764,0.054276315789473686,0.09388704214793893,0.10017364031705764
Belgium,20200120,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.9598997342297932,1.0,0.7346938775510204,0.7653860620562897,0.040100265770206756
Belgium,20200127,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.813904055162056,0.7823897405292102,0.6229508196721312,0.5988302024968944,-0.03151431463284582
Belgium,20200203,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,11.11,0.6968161033668128,0.7695717937046489,0.5333333333333333,0.5890195246531965,0.07275569033783613
Belgium,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,1.0,11.11,0.7109061348687152,0.7388674102316405,0.5441176470588235,0.5655188174989244,0.027961275362925253
Belgium,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,1.0,11.11,0.7077038549819192,0.6083221941804986,0.5416666666666666,0.4656013286652534,-0.09938166080142063
